0.psd_delta,0.psd_alpha,0.psd_gamma,1.psd_delta,1.psd_theta,2.psd_delta,2.psd_theta,2.psd_alpha,2.psd_beta,2.psd_gamma,2.spectral_entropy_value,2.delta_rel_power,2.beta_rel_power,3.psd_delta,3.psd_theta,3.psd_beta,3.psd_gamma,3.spectral_entropy_value,3.delta_rel_power,3.beta_rel_power,4.psd_delta,4.psd_theta,4.psd_alpha,Stress_level
9994.60533995676,10331.823834623729,1391.9270179623338,9257.77531735102,7265.036421787854,7741.132086740532,8405.860121335785,7705.936796636958,4943.532993709455,1654.873050515986,4.91179530746532,0.1415740833992965,0.3899034500743486,9661.90778402769,7575.225646726549,3342.9812951676613,1164.1494547451205,4.8037052897556425,0.2277863311446834,0.2979310633936984,11962.07974335972,7616.719575810462,8555.26467908128,1
14145.852129439992,4386.979214561263,1267.961710062772,10435.260425216871,3644.720022576824,8089.972913334119,2994.597560588053,3085.11629250522,2642.653857272352,729.303425490136,4.831396666003701,0.1835577537095854,0.3484804687857207,9912.301749115915,5373.831486092603,3596.341317548648,1112.5458773659084,4.744306231322758,0.1531624358894596,0.3920049962057749,12246.28178321314,6463.8060822160405,5523.576530351021,1
10178.56563062614,10463.917518992106,756.7181300234173,4620.447413756896,10058.027259653838,4006.286047737797,10896.168504139328,6419.666258984801,4544.283445278303,897.4886753576142,4.728049855162702,0.0598485495603062,0.3603123218949797,6328.599400728081,14417.491932401714,4935.1547607010325,675.2165278533627,4.611128388137767,0.0699456605470245,0.2767374503717345,7910.18585471844,18249.91052016936,7116.787168158717,1
16698.78874092956,15460.400293000872,1156.87470972038,17008.405305683173,2634.5281486859067,15674.177770480544,3005.764882063541,6885.195474270046,4043.460961215759,808.3990914108008,4.333767735631149,0.2757398885967727,0.4103033781291794,12758.430344617342,4609.960682219093,3178.899497158946,946.7019294473864,4.285763952779694,0.214107141178702,0.2470013369121583,11628.322259983164,8135.949232993198,15869.530563927176,1
5514.73953997516,11298.166915988944,938.6322916570604,5870.110121403826,9069.907814519316,5633.436192213329,9748.998366319476,6766.514200750003,2579.129441914348,1046.059847524648,4.6243432242208815,0.0620092054967983,0.3253836950766712,6800.785098905777,9707.28897166158,3032.801001248441,933.0912531943454,4.556705030297015,0.0561953914625009,0.3023045154233817,6754.787864537911,9977.967307727497,11733.082895427884,1
18629.52642904188,10868.27757444541,1072.6197719622262,13304.97503066649,8084.098313814126,12601.09457767411,7324.955901296251,4342.94741874736,4149.486848661682,760.6007147708757,4.844878986156636,0.2044230065528622,0.3771653399907255,13665.440763875962,8541.653011622022,5193.480385080888,931.1292891185482,4.823686518484957,0.1858548825919624,0.3829744212859141,15696.642031306146,10995.981007397157,8118.368240107993,1
6072.621693653122,13054.815433976311,1115.3826764606258,3419.588123086068,8125.849728041981,2815.282062319643,7231.97025440277,6886.774281854986,3070.553533612454,660.5012853516612,4.877446918970092,0.0871860869826073,0.320894869628741,4539.268300752787,9377.83152275834,3003.298591122238,854.18991700579,4.67872355761961,0.058745866911081,0.3435656641266768,6285.934568113395,11506.032791045678,10190.475723590032,1
10396.21352269569,7761.682084173149,721.3497057862269,8806.515605048116,7314.479153692046,6505.506614379627,5268.387656364762,5810.120528392633,3135.616549524476,1185.5327122259569,4.695920759234159,0.1751135618906549,0.4363435109615959,7152.263068944004,7792.066138697858,3457.2427688072044,787.8061265254472,4.663677208717925,0.1878933358130231,0.4196148409442473,9078.660055875283,10971.430435072103,7427.753909561384,1
10384.75915859922,5386.679149416136,1562.8330722068276,10272.806989989089,8214.915854243623,10042.339238131746,7753.80668120108,4126.6491445835245,3994.415042501323,1212.3867708765354,4.614578259210134,0.2541938137868809,0.3437987273497649,7091.586965041879,11963.773083008808,4876.9935639157375,1164.9927242157023,4.814710163658451,0.2007460506225959,0.4040158423188507,8406.856010835509,13972.467176459912,5806.186617140492,1
11302.77909690134,5405.668394823632,2431.1420384468024,9448.604543114025,9735.854265250178,8956.49171051143,8339.75244944851,2692.972113947177,3163.9172976588643,1505.978519460042,4.874283411590653,0.2302166065501133,0.3867719356500408,8394.937438276418,9183.041468409678,3776.3709773712094,1643.3380006490916,4.869612547820776,0.217517050605797,0.3339398950182752,8900.519028404487,9519.262887970162,4919.265135017694,1
