0.psd_delta,0.psd_alpha,0.psd_beta,0.delta_rel_power,0.theta_rel_power,0.alpha_rel_power,0.beta_rel_power,1.psd_delta,1.psd_theta,1.psd_alpha,1.psd_gamma,1.spectral_entropy_value,1.theta_rel_power,2.psd_delta,2.psd_theta,2.psd_alpha,2.psd_beta,2.psd_gamma,2.spectral_entropy_value,2.sample_entropy_value,2.delta_rel_power,2.theta_rel_power,2.alpha_rel_power,Stress_level
14850.830822513804,7910.065985374859,6950.560914689403,0.0592367329998534,0.1994437520729556,0.1836377358760744,0.2498537733733992,8934.67158501035,11525.341550140663,5518.074526606603,2661.371733517085,4.704152142422037,0.199646404811077,8039.972356164159,10515.873942349284,4416.116832131295,5392.388155492399,2457.4962289603272,4.625476871400187,2.3978952727983707,0.0783856080330185,0.2003485742064816,0.0837504344617399,1
14838.280527381085,7921.853627838398,8087.625726267519,0.1508472506205956,0.1344705712905337,0.1075984092480648,0.3632776453269354,4321.553686973649,12654.93343989965,3995.3888849344416,2220.6155056514,4.884465201123987,0.1261852939181289,2524.927423415586,9608.824748582896,3048.6557856986906,5795.67290783812,2257.108195234552,4.811246296487696,1.7346010553881064,0.065674595717445,0.1341258722284701,0.0532517363110474,1
7143.715838802998,6245.7759681073285,4200.151132062475,0.0826850448391454,0.3198164900544822,0.0882513167791096,0.1750969181604496,12595.46762016674,17790.172370970166,5254.756739834699,2121.3998866735947,4.6229142426961625,0.3017735289586855,11914.922521597156,16710.419354464608,4748.160066975738,4009.896543434184,1863.4916335527373,4.482732204262305,2.302585092994045,0.1495214293204629,0.2889815222478312,0.1184308525278554,1
7143.570136429933,7677.763201140499,4200.428316440172,0.0326358767282175,0.173594367236294,0.122695989810283,0.1870158038400877,8931.416757308873,4560.018685601112,5799.2936815709545,2656.750003847204,4.63653753061617,0.0578904216621719,7769.417843591187,4775.209063274603,6162.503482163912,3434.928351228357,2942.52900846798,4.66143692726511,0.0,0.1045212706784834,0.0483190687075914,0.1024015924300163,1
19573.432251412058,7663.019348152608,6509.398323576624,0.198891058485463,0.1622077418468663,0.0835578697176731,0.484567915885777,19269.40728083212,16232.611290902638,6277.23035020036,2949.386556027815,4.664318324836692,0.110837534649826,18421.95370463151,14419.819059729723,5892.507883266398,4118.334850987535,2442.113284503475,4.606494979269121,2.19722457733622,0.2345650873167509,0.1038564983898902,0.0952889882109151,1
20156.252572869354,11514.127980648407,5922.926306147249,0.1900824268336839,0.2586220560741313,0.1040585735893085,0.3183488306563434,16196.758503283045,5285.310179891766,6534.496385578455,1565.8007828844952,4.812738327450078,0.069838097801104,13818.969448335598,4181.8108293801,6950.097383284002,6218.19188889217,1504.6887069099855,4.91496531101676,2.639057329615259,0.2292493731744659,0.043636714889652,0.1073512562728947,1
12439.335545597343,8673.454806875741,4788.543719419212,0.1735419200854644,0.320029367235074,0.1016191584517725,0.271805375096939,13029.614259815531,9548.768922894938,5119.959723804988,2370.361258808127,4.922787561725002,0.2540388798760227,11913.102911936232,8665.47430448779,5214.868844337644,4787.932243216616,2421.9046328212603,4.91867869730716,2.079441541679836,0.1092109430965084,0.2415458396027739,0.0911596046190743,1
17188.542858846282,8444.197222686074,4596.463301734319,0.2380180229941079,0.0919888060618862,0.0785258723813466,0.3113917398781339,13119.902960959957,4920.045504825195,7365.107979844778,2375.06895367214,4.774602280043337,0.0422813156707393,13375.10173788671,3985.656757004968,6664.523154877271,4361.827699080587,2371.1869892525065,4.637562206554894,2.4849066497880004,0.2828969892855311,0.0498803474934167,0.0529245675622264,1
14127.226788939195,10572.369412735105,5117.587695416719,0.1788842012973244,0.1614139215041855,0.1262459791982461,0.3480324808928684,13114.038411725553,11242.25275304946,6309.807146872053,3531.46120112828,5.026125148245855,0.1306760786556792,12177.274495311583,11570.41813371982,4700.034576695237,5678.1292587852,3063.1470562872923,5.023618173331134,0.0,0.1639578082218383,0.1361507631217711,0.0592763289115298,1
15595.13430609521,5914.420768244391,5095.891819760973,0.2325481581707758,0.1925504134334965,0.1719137038412603,0.3274914465684558,11274.80080683408,11695.273172209922,6647.395336064709,2014.7448734962584,4.837950534589073,0.1340682186602654,9866.635709206288,12023.57363449548,4928.205276818244,5453.843124487731,1802.327479086952,4.867922202625433,0.0,0.1533424519771344,0.1779120417140227,0.1418421145551715,1
6998.403297501935,7195.576305052935,5679.215656706631,0.0548638242090671,0.2076310081905719,0.0890264087106614,0.3694516177089831,7746.272002059996,18554.642762659747,7120.786909808553,1937.6883492577435,4.791836240858789,0.2182794026540008,6990.958897997507,17959.30940541521,6839.143640339808,5372.043851121838,1633.800307746864,4.756008199019034,1.6094379124341005,0.0481093827724841,0.2592773604183653,0.118659921015729,1
19640.27366891129,12878.857729875068,3931.314863262438,0.1880476219380556,0.0461719833765162,0.2506058209655395,0.3006870200332933,16101.495588249189,9340.467047440585,9692.1254805271,2435.574984020468,5.070331574222881,0.0479614216904984,14449.863367811266,8872.475461139431,8224.97502055103,4066.81975840319,1901.8696973291865,5.058413206355082,1.9459101490553128,0.1609066070339655,0.0684759509324282,0.1977893956189998,1
19580.761821333446,7616.291308793123,4185.222829390458,0.2121119256966862,0.1371788757708532,0.0965629687398998,0.281785336145294,9962.890027722366,12075.84061778755,7722.163017600261,3398.076409529123,4.4609326523818575,0.1371746681054225,9017.660834932763,12122.438829480812,7838.079913469456,3890.742480671372,2811.4839644745016,4.764905557604067,1.0986122886681098,0.1010802783434757,0.1724706619934112,0.1341068426682541,1
20213.386179974048,7402.972985011497,7648.661837293684,0.2405655553784545,0.0704730817722834,0.0655480087030351,0.220805383554392,18237.64873995809,8688.509668598517,5812.190715446745,3682.664947454253,4.520292579436415,0.0920457818410048,14260.890132715756,9800.073860756129,5396.483032306486,7102.082245219798,3462.067065461073,4.538824913002599,1.791759469228055,0.215579580612626,0.1062996680634795,0.0692234968110279,1
19819.811866129392,5670.639913214298,5793.161503440584,0.2347909828988006,0.0849222388433894,0.1343435829700631,0.3851163763897658,11946.991842258913,6522.1458398956765,2426.148270206957,3037.05051877313,4.8355912908110215,0.1326752443501831,10090.932158891292,7955.131300630312,2854.7139232096474,6705.459335809584,2950.3830413389487,4.870468744052912,0.0,0.1256566306274945,0.1509787383931576,0.0832484769009148,1
17568.032820139415,8322.393528784914,6111.455963399105,0.2120255767489708,0.1016997335930978,0.073936315745798,0.4521519250954463,13454.359595769634,6160.543016081566,4648.061566893963,3187.7810668431803,4.716238318893883,0.0675065953746742,12808.803940479227,7021.254555744779,3944.511559074015,5043.880428545038,3105.610091966327,4.746031050479552,2.5649493574615367,0.2226154686688088,0.0841718998167471,0.0590040044113464,1
7569.163595836431,7598.0320547505,4675.55997443145,0.0920366935684141,0.3650735854893248,0.1155754549184771,0.2517840184391722,7996.54146078713,13064.462786540284,9121.827698143805,2442.548858280908,4.781418473186327,0.2890411041973688,7975.247349613052,13369.943808272006,9048.34391514395,4306.468599619815,2167.976996181463,4.78025138468652,0.0,0.0851828417091439,0.3128880317275377,0.1063590455507392,1
