0.psd_delta,1.psd_delta,1.psd_beta,2.psd_delta,2.psd_theta,2.psd_alpha,2.psd_beta,2.psd_gamma,2.spectral_entropy_value,2.delta_rel_power,2.theta_rel_power,2.alpha_rel_power,2.beta_rel_power,3.psd_delta,3.psd_alpha,3.psd_gamma,3.delta_rel_power,3.beta_rel_power,4.psd_beta,5.psd_delta,5.psd_theta,5.psd_alpha,Stress_level
22884.53156351595,34189.5943208883,24618.89764020904,40231.85144013199,55237.201985030224,10814.3010250635,25968.588796650503,9778.241328687727,4.8519819687126295,0.0594467039924858,0.2328252856818864,0.0419883251019038,0.4768082431386966,30122.706410021423,7622.949724337096,10557.888787140206,0.0602613395389667,0.4372353877513757,14074.660177355494,12534.628366678153,15509.32039616126,8721.771557539209,1
46687.872087224096,67942.35658150382,17503.167127986184,68288.54669751844,25259.13728953868,12204.127287068,22186.99786901342,8141.528844746304,4.813149609471911,0.2187933912573754,0.1067252370060335,0.049415690466357,0.368294565225926,39335.76865392807,6784.136619945723,7621.976978841208,0.0922097797479497,0.3910336628180518,12545.504544671683,19632.649028633565,17327.92396489431,6592.832425370941,1
34561.1584337809,36189.91423527029,14923.824106632906,38928.31881736196,20493.64291202974,30457.2690960898,14226.989719205165,12207.651925685044,4.6442146087410245,0.1561823234734484,0.0397189784341731,0.1554995386928961,0.2930478926874193,30097.760594943687,25346.80269029032,11670.41924670422,0.1341740051630253,0.3160680561780459,9909.37280930802,9689.387275060688,15127.09516055376,13216.65444775014,1
16186.460083361582,21715.84387131149,22912.04022183604,24407.03334225362,36549.81385718752,14822.262570914774,22484.423425492874,8248.528499818945,4.99113488016347,0.1145449588152573,0.1703856298144282,0.099947700610099,0.4018738839253455,18371.565050026184,13985.170306764208,9273.519300442822,0.0442432613053734,0.4824685381867784,16611.372811275844,6005.21078782617,16353.783648591838,6053.660321131117,1
21824.117451264105,19450.37619197557,21093.2517067902,35007.09485232037,16685.655730108305,14289.438292916428,24959.49102698639,14218.113681255352,4.96118959092346,0.113551703702905,0.0587218510357891,0.0684529719480026,0.4738621451659904,25697.678708615585,11987.281826431774,12805.8575544096,0.0746925858374525,0.4900371128909103,17891.201559364225,8213.052650277566,13710.600354099388,4148.645986414089,1
9943.191757231709,21324.692635727744,20414.288737188937,29343.15012795411,30568.48983194032,26809.040610848053,23701.711678829583,10551.776399938546,4.964995964818852,0.1383744204523887,0.0792267785081271,0.1272784210321587,0.5381853492801828,27200.596602396923,31627.058699709265,10139.25374993615,0.1675378892806128,0.4974836033376412,16865.39084242244,16449.911136360028,15701.346775953603,13288.089897505415,1
32613.3810505351,42797.64742919541,18762.250301812208,41999.670636972674,36706.74196285881,31981.06945686829,22811.69938932577,11499.086620955031,4.830194959336416,0.1254152842254619,0.1050286571115485,0.115431492482655,0.434121393616069,35085.807580982044,32123.307380886046,9649.247920763575,0.1082150378308413,0.4899616955601764,14889.165860964073,13384.521951951012,11468.419094232877,15363.160476579442,1
15824.697835915918,27116.34627549728,18729.323177924613,38250.03114239439,26281.68839526512,20961.56101677768,21094.064912849663,14601.194033721727,4.957557454250767,0.0632232026923403,0.1440347122614599,0.0726608878579162,0.3872234846467877,23039.155348687047,15843.118389674217,13534.935133338286,0.0459741960926086,0.4207353271230527,15707.54597946673,9818.089970347894,15400.428803315212,5231.486297916909,1
24818.159469118385,60621.88356368471,14259.250881239295,66049.5657035618,12428.678751754696,31430.69391237352,17366.05688539877,15164.679541160447,4.666315618805836,0.1981416080980823,0.0371304586115302,0.0732210131949749,0.357070084922369,54477.18071485734,15584.511629757211,14929.063981524314,0.146019447549923,0.3290556047528303,12933.71458498712,12380.796881021171,7401.79912156863,8562.567813955848,1
28571.55503870241,51986.90910132184,12807.346668490623,43699.00868288341,28996.199084589887,18710.70546477532,15324.43415100408,9866.012517697332,4.824961923360374,0.0607072482484593,0.1375536026640543,0.1403788176750996,0.3658418203275762,20177.234676940447,16029.844959334494,10607.511528775924,0.0491502350298826,0.3268144948753298,8243.913037088761,14191.274452618272,17052.376049496914,7013.631272094062,1
