,0.psd_delta,0.psd_gamma,1.psd_delta,1.psd_theta,1.psd_alpha,1.psd_beta,1.psd_gamma,1.spectral_entropy_value,1.delta_rel_power,1.theta_rel_power,1.alpha_rel_power,2.psd_delta,2.psd_theta,2.psd_alpha,2.psd_beta,2.psd_gamma,2.spectral_entropy_value,2.sample_entropy_value,2.delta_rel_power,2.theta_rel_power,2.alpha_rel_power,2.beta_rel_power
0,9994.60533995676,1391.9270179623338,9257.77531735102,7265.036421787854,7690.433996006858,5163.761781409033,1918.183034705478,4.939184296804312,0.1352407761450113,0.1355348431640453,0.114773807605762,7741.132086740532,8405.860121335785,7705.936796636958,4943.532993709455,1654.873050515986,4.91179530746532,1.3217558399823195,0.1415740833992965,0.1313985805793816,0.1313887533997675,0.3899034500743486
1,14145.852129439992,1267.961710062772,10435.260425216871,3644.720022576824,2613.103810924763,2299.7482615920326,801.1737302112003,4.80309749986622,0.2188446612331253,0.1651304245640734,0.1269652282845944,8089.972913334119,2994.597560588053,3085.11629250522,2642.653857272352,729.303425490136,4.831396666003701,0.0,0.1835577537095854,0.1430752051945673,0.1605439018255079,0.3484804687857207
2,10178.56563062614,756.7181300234173,4620.447413756896,10058.027259653838,7519.625489477875,4332.200639971662,923.4182206739204,4.710522052091903,0.0616433583531209,0.3229459979703918,0.1634352002211002,4006.286047737797,10896.168504139328,6419.666258984801,4544.283445278303,897.4886753576142,4.728049855162702,0.0,0.0598485495603062,0.309119800735197,0.1645980672192866,0.3603123218949797
3,16698.78874092956,1156.87470972038,17008.405305683173,2634.5281486859067,7967.808412142855,3832.21265024383,977.7719651470262,4.304630334516694,0.3000441234548532,0.0347428270290816,0.1805550299803246,15674.177770480544,3005.764882063541,6885.195474270046,4043.460961215759,808.3990914108008,4.333767735631149,1.3862943611198906,0.2757398885967727,0.0305579275895393,0.1765398085002398,0.4103033781291794
4,5514.73953997516,938.6322916570604,5870.110121403826,9069.907814519316,6995.540679656703,3168.696297881126,760.1984543662745,4.495016988677064,0.0667277134829467,0.2092938720973597,0.3290120906378884,5633.436192213329,9748.998366319476,6766.514200750003,2579.129441914348,1046.059847524648,4.6243432242208815,0.0,0.0620092054967983,0.2417362028790816,0.2657865500007319,0.3253836950766712
5,18629.52642904188,1072.6197719622262,13304.97503066649,8084.098313814126,5900.467770883154,4536.2251342104,689.9837889091312,4.669546729485378,0.2132631232365322,0.1371690946833199,0.2114541946336271,12601.09457767411,7324.955901296251,4342.94741874736,4149.486848661682,760.6007147708757,4.844878986156636,2.5649493574615367,0.2044230065528622,0.1271223392285788,0.1610363166082523,0.3771653399907255
6,6072.621693653122,1115.3826764606258,3419.588123086068,8125.849728041981,8491.023708054181,3357.7382476790062,733.370471602816,4.884244150974225,0.0833808356768815,0.1999145136251952,0.2824176280237838,2815.282062319643,7231.97025440277,6886.774281854986,3070.553533612454,660.5012853516612,4.877446918970092,2.9444389791664407,0.0871860869826073,0.2126456726028467,0.2483255066864982,0.320894869628741
7,10396.21352269569,721.3497057862269,8806.515605048116,7314.479153692046,6456.534165509741,3570.661701430377,1125.776193550546,4.630775819639435,0.21667062281015,0.0534689749725823,0.2426288223222292,6505.506614379627,5268.387656364762,5810.120528392633,3135.616549524476,1185.5327122259569,4.695920759234159,1.6094379124341005,0.1751135618906549,0.0342625181614593,0.2590105439456635,0.4363435109615959
8,10384.75915859922,1562.8330722068276,10272.806989989089,8214.915854243623,3367.78856126261,4175.927707918302,1376.418469980689,4.773473939951127,0.215084971568122,0.2182055173546878,0.0502418643633625,10042.339238131746,7753.80668120108,4126.6491445835245,3994.415042501323,1212.3867708765354,4.614578259210134,2.079441541679836,0.2541938137868809,0.2336083196213866,0.0528803538176762,0.3437987273497649
9,11302.77909690134,2431.1420384468024,9448.604543114025,9735.854265250178,4063.58747208084,3393.944671538444,1849.869927271044,4.888553926498147,0.1725600333286307,0.1238289690528078,0.1052575629851957,8956.49171051143,8339.75244944851,2692.972113947177,3163.9172976588643,1505.978519460042,4.874283411590653,1.2809338454620642,0.2302166065501133,0.0936328942710575,0.080820411764414,0.3867719356500408
10,24736.23435420851,1329.342276791789,13183.327807128688,6950.357809993863,4709.170169374564,3295.9165826337567,1327.480474880555,4.686450257338535,0.2423891665253744,0.0760913422110391,0.1230789590762872,10905.00076015131,7442.235797568411,4659.5198394186,3210.465450856678,1071.366574926901,4.78256532557212,2.3978952727983707,0.2211126874337799,0.0815397217032189,0.139156379316215,0.3757798595648569
11,12758.6317918286,845.3070555197096,11707.8130334833,7112.867202275264,6307.656674505942,2626.1811790281395,468.8998363852386,4.212711848653596,0.2415247265242706,0.279656418773966,0.0859006107144421,9249.100374105696,5447.0604440506895,5324.311495832782,2378.0351224367464,372.4200017274428,4.421020537772453,2.772588722239781,0.2023191377475496,0.2338265308833274,0.0966333297126448,0.3718488669875878
12,20645.508393586828,966.4823520616792,12041.930479192204,4430.812520354517,6578.296139021564,3194.657170573258,749.0330397795975,4.84002337693937,0.1361248677855351,0.1990333761301127,0.1411957793011316,10200.002915525767,4601.774847807951,7593.541878379815,3202.169729436306,583.0494788057841,4.645635535847748,1.871802176901592,0.1201049852372999,0.2246521663380384,0.1854558459404808,0.4069239208765737
13,10456.558526446304,785.957429505837,8028.195895605935,12258.975170666889,4612.617136148897,3393.473869082073,923.1973569789208,4.569122461914078,0.1565107984639828,0.2757680964032512,0.0767423498156142,7293.740216307086,12018.341434188049,3920.797446846894,2877.559205514571,1184.5005605967492,4.669579624836349,2.70805020110221,0.1131471781566837,0.2783050914883802,0.0687654251462232,0.3748342025338451
14,17407.84802499611,1647.524621600022,10266.896827192391,6708.101624100917,6291.112531280727,5225.362394499178,1479.1816742298763,4.712995478699535,0.1476977541729573,0.1658185409424893,0.0618446206122733,10524.140517427317,7116.536038380093,5520.403558810188,5082.647328778297,1388.9671174434325,4.655967393362016,2.772588722239781,0.1571132181021784,0.1678348026283862,0.0459258844344155,0.5085295197370859
15,15108.222920874452,1129.2755682756804,9006.418951839856,6173.669951585,4469.685559740419,2953.7509474052767,1081.1291909595625,4.7365820548287285,0.2898056409307692,0.0708720706979937,0.1091006616763555,7939.161650473428,6159.781649733732,4826.79044295628,2743.470523757292,931.1743831342894,4.74793381950786,1.8971199848858813,0.2647752655444943,0.0714327290281886,0.1253901380046245,0.3525440624406565
