,0.psd_delta,0.psd_beta,0.psd_gamma,0.delta_rel_power,0.theta_rel_power,1.psd_alpha,1.psd_beta,1.theta_rel_power,2.psd_delta,2.psd_theta,2.psd_beta,2.psd_gamma,2.delta_rel_power,2.theta_rel_power,2.alpha_rel_power,3.psd_theta,3.psd_alpha,4.psd_alpha,4.psd_beta,5.psd_delta,5.psd_alpha,5.psd_beta
10,6998.403297501935,5679.215656706631,3118.186915813141,0.0548638242090671,0.2076310081905719,7120.786909808553,5559.363067721593,0.2182794026540008,6990.958897997507,17959.30940541521,5372.043851121838,1633.800307746864,0.0481093827724841,0.2592773604183653,0.118659921015729,14389.265036106426,6769.117217734049,6124.822655236909,4663.440359896803,3793.575550696368,5019.113428939309,3998.5091678070935
11,19640.27366891129,3931.314863262438,2916.0638421897274,0.1880476219380556,0.0461719833765162,9692.1254805271,3835.179819847142,0.0479614216904984,14449.863367811266,8872.475461139431,4066.81975840319,1901.8696973291865,0.1609066070339655,0.0684759509324282,0.1977893956189998,8880.135930766886,9889.07490752041,10111.219122861505,4363.828858609002,8869.57043867941,7550.456449872464,4100.884068411844
12,19580.761821333446,4185.222829390458,2771.1239665460694,0.2121119256966862,0.1371788757708532,7722.163017600261,4394.597732182283,0.1371746681054225,9017.660834932763,12122.438829480812,3890.742480671372,2811.4839644745016,0.1010802783434757,0.1724706619934112,0.1341068426682541,8520.262537914998,7449.856876461844,7300.439506563815,4137.16667232747,9540.625946612414,6106.432188243781,3425.637874285425
13,20213.386179974048,7648.661837293684,3749.53861913212,0.2405655553784545,0.0704730817722834,5812.190715446745,8347.526550748596,0.0920457818410048,14260.890132715756,9800.073860756129,7102.082245219798,3462.067065461073,0.215579580612626,0.1062996680634795,0.0692234968110279,8086.801359847979,5676.016860729479,7639.460502016463,5375.530047841405,10399.471214544255,6504.570308751656,4439.0962463387295
14,19819.811866129392,5793.161503440584,2366.0697114676227,0.2347909828988006,0.0849222388433894,2426.148270206957,6046.425956528555,0.1326752443501831,10090.932158891292,7955.131300630312,6705.459335809584,2950.3830413389487,0.1256566306274945,0.1509787383931576,0.0832484769009148,11724.321197805828,4625.923375135276,6887.694607360972,5751.020590824387,14686.338650929534,4789.027396689413,4610.719740211809
15,17568.032820139415,6111.455963399105,3355.778933511844,0.2120255767489708,0.1016997335930978,4648.061566893963,6003.516089619027,0.0675065953746742,12808.803940479227,7021.254555744779,5043.880428545038,3105.610091966327,0.2226154686688088,0.0841718998167471,0.0590040044113464,6516.119846855405,5014.820978266146,8815.604718404355,4092.064266701576,16115.02592962905,6824.393249461135,2983.3942585147383
16,7569.163595836431,4675.55997443145,1889.306998763747,0.0920366935684141,0.3650735854893248,9121.827698143805,4536.02252468868,0.2890411041973688,7975.247349613052,13369.943808272006,4306.468599619815,2167.976996181463,0.0851828417091439,0.3128880317275377,0.1063590455507392,13664.733529253375,7423.573987654931,5548.270416484757,4202.0589960772095,10099.172894205803,3996.939222564709,3665.779871944991
17,9007.2426669595,5054.528823769163,1671.741335556507,0.046837788018484,0.2339085033673896,6157.6022184506255,4021.8950053958056,0.108935217232315,10561.547506210149,5737.474776572832,3331.8107856022816,2185.747245226443,0.1970353801441583,0.1476842081016496,0.1709620131552511,3730.997310141264,4700.485909018566,6030.91517548596,4415.013294924783,7814.357525026944,6481.481881692856,3300.43807066732
18,13126.049302098689,6651.582535938192,3879.7008792176766,0.1126547753101211,0.2030137376211463,2419.0158502735794,6110.496757183464,0.1052954883264133,15437.71383305117,4222.833719311265,5600.635964007307,3362.6891105256946,0.1954239893850403,0.0706718211348268,0.0221852570558617,7709.551381154018,3441.927663205789,5447.08435999573,5556.10334486324,9970.002249078152,4755.713502969852,4570.785523533685
19,10187.443543011732,5386.537219574358,1779.8856328201905,0.2276326177635092,0.1725443748102335,6520.0031736218525,7047.36068742489,0.1807324862508528,8743.452534666832,9812.367154471893,6646.1591709742825,2269.866611274904,0.0660753936131352,0.1957780113502291,0.0785962509264528,9257.295121859344,5230.103492243812,5952.041114304662,4289.641655230952,6472.530721257042,4976.044307347415,3263.9236620226907
