,0.psd_delta,0.psd_gamma,1.psd_delta,1.psd_theta,1.psd_alpha,1.psd_beta,1.spectral_entropy_value,1.delta_rel_power,1.alpha_rel_power,2.psd_delta,2.psd_theta,2.psd_alpha,2.psd_gamma,2.spectral_entropy_value,2.beta_rel_power,3.psd_delta,4.psd_beta,4.psd_gamma,4.spectral_entropy_value,4.alpha_rel_power,5.psd_delta,5.psd_theta
0,9994.60533995676,1391.9270179623338,9257.77531735102,7265.036421787854,7690.433996006858,5163.761781409033,4.939184296804312,0.1352407761450113,0.114773807605762,7741.132086740532,8405.860121335785,7705.936796636958,1654.873050515986,4.91179530746532,0.3899034500743486,9661.90778402769,2759.863513450803,1367.442589828721,4.903858942193571,0.1523329571580912,10391.923933536267,6563.189453755743
1,14145.852129439992,1267.961710062772,10435.260425216871,3644.720022576824,2613.103810924763,2299.7482615920326,4.80309749986622,0.2188446612331253,0.1269652282845944,8089.972913334119,2994.597560588053,3085.11629250522,729.303425490136,4.831396666003701,0.3484804687857207,9912.301749115915,4268.471560314199,1328.4966288452845,4.720587591500295,0.1789734855542126,10759.386823191697,5140.116909642968
2,10178.56563062614,756.7181300234173,4620.447413756896,10058.027259653838,7519.625489477875,4332.200639971662,4.710522052091903,0.0616433583531209,0.1634352002211002,4006.286047737797,10896.168504139328,6419.666258984801,897.4886753576142,4.728049855162702,0.3603123218949797,6328.599400728081,4956.644722182849,686.5234455630726,4.467537387987538,0.1931023107126772,7434.668102161156,15221.244516583183
3,16698.78874092956,1156.87470972038,17008.405305683173,2634.5281486859067,7967.808412142855,3832.21265024383,4.304630334516694,0.3000441234548532,0.1805550299803246,15674.177770480544,3005.764882063541,6885.195474270046,808.3990914108008,4.333767735631149,0.4103033781291794,12758.430344617342,3122.330885339112,1096.5197983073515,4.412610982527357,0.3875285172392326,9657.369113637658,6555.8050983821
4,5514.73953997516,938.6322916570604,5870.110121403826,9069.907814519316,6995.540679656703,3168.696297881126,4.495016988677064,0.0667277134829467,0.3290120906378884,5633.436192213329,9748.998366319476,6766.514200750003,1046.059847524648,4.6243432242208815,0.3253836950766712,6800.785098905777,3283.9939039010046,761.6400765362125,4.356628845897292,0.3771052688739563,5092.783874352326,8155.118137597137
5,18629.52642904188,1072.6197719622262,13304.97503066649,8084.098313814126,5900.467770883154,4536.2251342104,4.669546729485378,0.2132631232365322,0.2114541946336271,12601.09457767411,7324.955901296251,4342.94741874736,760.6007147708757,4.844878986156636,0.3771653399907255,13665.440763875962,5732.079840594979,862.085390309717,4.759698602985312,0.1977705797231834,10366.019279773702,8862.475767440024
6,6072.621693653122,1115.3826764606258,3419.588123086068,8125.849728041981,8491.023708054181,3357.7382476790062,4.884244150974225,0.0833808356768815,0.2824176280237838,2815.282062319643,7231.97025440277,6886.774281854986,660.5012853516612,4.877446918970092,0.320894869628741,4539.268300752787,3403.6722581327194,1007.3389926471008,4.449480418558611,0.2571730416627332,6423.363672303856,10219.295770885188
7,10396.21352269569,721.3497057862269,8806.515605048116,7314.479153692046,6456.534165509741,3570.661701430377,4.630775819639435,0.21667062281015,0.2426288223222292,6505.506614379627,5268.387656364762,5810.120528392633,1185.5327122259569,4.695920759234159,0.4363435109615959,7152.263068944004,4446.680980800688,658.4923733451499,4.636027798288127,0.1551759185826699,9839.23528160422,8203.697326951147
8,10384.75915859922,1562.8330722068276,10272.806989989089,8214.915854243623,3367.78856126261,4175.927707918302,4.773473939951127,0.215084971568122,0.0502418643633625,10042.339238131746,7753.80668120108,4126.6491445835245,1212.3867708765354,4.614578259210134,0.3437987273497649,7091.586965041879,5472.588400530369,1290.8336719366107,4.986883075488057,0.130962037523248,6310.530504681129,13187.685955808494
9,11302.77909690134,2431.1420384468024,9448.604543114025,9735.854265250178,4063.58747208084,3393.944671538444,4.888553926498147,0.1725600333286307,0.1052575629851957,8956.49171051143,8339.75244944851,2692.972113947177,1505.978519460042,4.874283411590653,0.3867719356500408,8394.937438276418,4022.157480251202,2301.5041446761343,4.746386746369049,0.1664476357056676,7083.368099493441,7875.28082138881
