,0.psd_delta,0.psd_theta,0.psd_alpha,0.psd_beta,0.psd_gamma,0.spectral_entropy_value,0.sample_entropy_value,0.delta_rel_power,0.theta_rel_power,0.alpha_rel_power,0.beta_rel_power,1.psd_delta,1.psd_theta,1.psd_alpha,1.psd_gamma,1.delta_rel_power,2.psd_delta,2.psd_theta,2.psd_gamma,2.delta_rel_power,2.theta_rel_power,2.alpha_rel_power,2.beta_rel_power,3.psd_delta
0,14850.830822513804,14923.215094330066,7910.065985374859,6950.560914689403,3047.5820952902554,4.911304058644468,2.639057329615259,0.0592367329998534,0.1994437520729556,0.1836377358760744,0.2498537733733992,8934.67158501035,11525.341550140663,5518.074526606603,2661.371733517085,0.0605703818604799,8039.972356164159,10515.873942349284,2457.4962289603272,0.0783856080330185,0.2003485742064816,0.0837504344617399,0.3376477047373714,10974.394981584595
1,14838.280527381085,18650.06525099645,7921.853627838398,8087.625726267519,2855.607519366661,4.778889224580792,1.0986122886681098,0.1508472506205956,0.1344705712905337,0.1075984092480648,0.3632776453269354,4321.553686973649,12654.93343989965,3995.3888849344416,2220.6155056514,0.1038547188926593,2524.927423415586,9608.824748582896,2257.108195234552,0.065674595717445,0.1341258722284701,0.0532517363110474,0.4816282483352098,9204.513653281369
2,7143.715838802998,16263.647993866707,6245.7759681073285,4200.151132062475,2838.1551170515486,4.455605274608107,0.0,0.0826850448391454,0.3198164900544822,0.0882513167791096,0.1750969181604496,12595.46762016674,17790.172370970166,5254.756739834699,2121.3998866735947,0.1269616979730743,11914.922521597156,16710.419354464608,1863.4916335527373,0.1495214293204629,0.2889815222478312,0.1184308525278554,0.2598796153497493,7766.04162517346
3,7143.570136429933,12413.63494952829,7677.763201140499,4200.428316440172,2764.924612939659,4.594507774281094,0.0,0.0326358767282175,0.173594367236294,0.122695989810283,0.1870158038400877,8931.416757308873,4560.018685601112,5799.2936815709545,2656.750003847204,0.1036527029846005,7769.417843591187,4775.209063274603,2942.52900846798,0.1045212706784834,0.0483190687075914,0.1024015924300163,0.2052252386407466,6944.807596660328
4,19573.432251412058,18451.900407381832,7663.019348152608,6509.398323576624,2423.619039035225,4.605586311924196,1.3862943611198906,0.198891058485463,0.1622077418468663,0.0835578697176731,0.484567915885777,19269.40728083212,16232.611290902638,6277.23035020036,2949.386556027815,0.2039459057908212,18421.95370463151,14419.819059729723,2442.113284503475,0.2345650873167509,0.1038564983898902,0.0952889882109151,0.3318972864141389,12930.284786463664
5,20156.252572869354,15427.395380409283,11514.127980648407,5922.926306147249,1761.4918206543498,4.593220322363168,1.7346010553881064,0.1900824268336839,0.2586220560741313,0.1040585735893085,0.3183488306563434,16196.758503283045,5285.310179891766,6534.496385578455,1565.8007828844952,0.2551776915664837,13818.969448335598,4181.8108293801,1504.6887069099855,0.2292493731744659,0.043636714889652,0.1073512562728947,0.4084077771719389,13462.9249512697
6,12439.335545597343,19331.258700040657,8673.454806875741,4788.543719419212,1959.0590336463115,4.780770606361639,0.0,0.1735419200854644,0.320029367235074,0.1016191584517725,0.271805375096939,13029.614259815531,9548.768922894938,5119.959723804988,2370.361258808127,0.1236394563634791,11913.102911936232,8665.47430448779,2421.9046328212603,0.1092109430965084,0.2415458396027739,0.0911596046190743,0.384039295087659,7712.815806787406
7,17188.542858846282,11549.604356883165,8444.197222686074,4596.463301734319,1772.7984850505609,4.851267758235719,0.0,0.2380180229941079,0.0919888060618862,0.0785258723813466,0.3113917398781339,13119.902960959957,4920.045504825195,7365.107979844778,2375.06895367214,0.2424070709002763,13375.10173788671,3985.656757004968,2371.1869892525065,0.2828969892855311,0.0498803474934167,0.0529245675622264,0.3459557048812429,14780.226244385403
8,14127.226788939195,14822.593425923978,10572.369412735105,5117.587695416719,3102.715517782244,4.9960777570125225,1.9459101490553128,0.1788842012973244,0.1614139215041855,0.1262459791982461,0.3480324808928684,13114.038411725553,11242.25275304946,6309.807146872053,3531.46120112828,0.1821755635641929,12177.274495311583,11570.41813371982,3063.1470562872923,0.1639578082218383,0.1361507631217711,0.0592763289115298,0.4542154529059668,11265.570868303716
9,15595.13430609521,15007.241043759186,5914.420768244391,5095.891819760973,1148.940722231977,4.68215586860079,2.19722457733622,0.2325481581707758,0.1925504134334965,0.1719137038412603,0.3274914465684558,11274.80080683408,11695.273172209922,6647.395336064709,2014.7448734962584,0.1604474512300635,9866.635709206288,12023.57363449548,1802.327479086952,0.1533424519771344,0.1779120417140227,0.1418421145551715,0.3222194403949501,10434.715286517168
