,0.psd_delta,0.psd_theta,0.psd_alpha,0.psd_beta,0.psd_gamma,0.spectral_entropy_value,0.delta_rel_power,0.beta_rel_power,1.psd_delta,1.psd_theta,1.psd_alpha,1.psd_beta,1.spectral_entropy_value,1.delta_rel_power,1.theta_rel_power,1.alpha_rel_power,1.beta_rel_power,2.psd_delta,2.psd_beta,2.spectral_entropy_value,2.delta_rel_power,3.psd_delta,3.psd_theta,3.psd_alpha,3.psd_gamma
10,22884.53156351595,35780.43358826747,12915.459694382793,16754.6571196308,7363.2791653450595,4.779316514446398,0.0449269702059873,0.471342446713472,34189.5943208883,52973.62587012876,11263.91438292696,24618.89764020904,4.83013984008939,0.0574024019888977,0.2291515158862721,0.0587385724469833,0.5127186340786645,40231.85144013199,25968.588796650503,4.8519819687126295,0.0594467039924858,30122.706410021423,41876.71349100221,7622.949724337096,10557.888787140206
11,46687.872087224096,47652.55588779386,8154.517142426504,14516.212866522745,6505.511607034748,4.781651377834563,0.1229940005676559,0.3274002820540084,67942.35658150382,23944.54573714657,9958.92554337748,17503.167127986184,4.807868807347233,0.2254867148538311,0.1094592273677223,0.0408516762853482,0.349091285505979,68288.54669751844,22186.99786901342,4.813149609471911,0.2187933912573754,39335.76865392807,32050.90609084413,6784.136619945723,7621.976978841208
12,34561.1584337809,23839.75029045496,21892.01559772663,11412.10116919658,9833.271191270089,4.47450635926336,0.1558252461911532,0.3800303822929429,36189.91423527029,22153.52945657026,29748.563265234086,14923.824106632906,4.7613207508657,0.1520608194176212,0.0573282617927403,0.14770164155291,0.376139991169736,38928.31881736196,14226.989719205165,4.6442146087410245,0.1561823234734484,30097.760594943687,21834.456308686185,25346.80269029032,11670.41924670422
13,16186.460083361582,30329.54185052868,14704.777707175876,22486.783142578995,8154.40938352678,4.913400392682068,0.0795976892196208,0.4081907621478987,21715.84387131149,31639.51144326232,15163.23294732142,22912.04022183604,4.9601934230345925,0.1025731371801652,0.166605791462567,0.1025398427424538,0.3537537922232646,24407.03334225362,22484.423425492874,4.99113488016347,0.1145449588152573,18371.565050026184,35720.23500221105,13985.170306764208,9273.519300442822
14,21824.117451264105,14264.78049202447,19077.38499994965,17045.006927396946,11577.516099229557,5.044827147792832,0.167843216387144,0.4524169522790365,19450.37619197557,19139.528888463712,17431.13299284701,21093.2517067902,4.975087919275717,0.0804095637232703,0.0896527626247079,0.0923938044399566,0.5009136407954117,35007.09485232037,24959.49102698639,4.96118959092346,0.113551703702905,25697.678708615585,22057.175869171508,11987.281826431774,12805.8575544096
15,9943.191757231709,27828.64106594185,36866.38240270476,18104.97429210108,8826.766298185561,4.6725087536145065,0.0204952340599996,0.4528355971631076,21324.692635727744,28063.89904257061,29417.675952721493,20414.288737188937,4.878472727602436,0.0929196978164152,0.0802520883382277,0.1826939941575887,0.4822173250804244,29343.15012795411,23701.711678829583,4.964995964818852,0.1383744204523887,27200.596602396923,25671.65041564397,31627.058699709265,10139.25374993615
16,32613.3810505351,25251.596047847943,36174.0844214273,16868.36705441968,7272.974008050887,4.708278729535221,0.1536591388462811,0.436387752961571,42797.64742919541,28100.44578426393,31347.03207096558,18762.250301812208,4.895633809714533,0.1533388623610152,0.0922384259567429,0.1119923972317931,0.3997395858784264,41999.670636972674,22811.69938932577,4.830194959336416,0.1254152842254619,35085.807580982044,29533.260033911425,32123.307380886046,9649.247920763575
17,15824.697835915918,28131.18936824239,6460.006798742594,16296.964607880896,10396.542640830912,4.850951183428569,0.0994897505709265,0.4340969053848902,27116.34627549728,22640.92241421051,14292.96175234426,18729.323177924613,4.8829303960070805,0.0500766077473387,0.1337507347408532,0.0680469992011591,0.427521109086082,38250.03114239439,21094.064912849663,4.957557454250767,0.0632232026923403,23039.155348687047,23951.614503335924,15843.118389674217,13534.935133338286
18,24818.159469118385,41526.99965488622,12251.48753925319,12265.580565567703,9003.122043973004,4.689437363813351,0.0457116101930557,0.2914763336500244,60621.88356368471,14002.429546507212,19956.54905200917,14259.250881239295,4.561458062582383,0.2167229156966277,0.0238527962668029,0.0584981810309522,0.3323787394273044,66049.5657035618,17366.05688539877,4.666315618805836,0.1981416080980823,54477.18071485734,8599.26082477743,15584.511629757211,14929.063981524314
19,28571.55503870241,45429.51198251013,22487.125305023583,10387.600710311344,7329.424984815171,4.66438404637714,0.0396849063595746,0.2636126320943227,51986.90910132184,31540.69975630557,17871.588449509487,12807.346668490623,4.8564572390061365,0.0707668939928567,0.1857197068872461,0.1380933227685969,0.353038471697744,43699.00868288341,15324.43415100408,4.824961923360374,0.0607072482484593,20177.234676940447,32954.02511807883,16029.844959334494,10607.511528775924
20,25980.365619072792,40179.40374718614,19339.109808808484,12084.105392986665,11919.887369274224,4.434477578213596,0.0496200372406902,0.4309414578657994,31357.46092088065,19312.489835764514,16065.47665912756,13557.28620984764,4.322807119628421,0.067301771219244,0.0474609707899026,0.1132374636081513,0.322591479737997,46301.76423592545,17210.471115724267,4.405733676302942,0.0919488673553921,44436.77603145693,39278.44454176574,14791.69537337838,16789.732264742055
21,32016.28087197077,40874.30676797682,15799.02033740931,17804.924246853516,5484.7792456721445,4.678961318566544,0.0796578330701898,0.3174424838241871,29795.589337305755,36997.57743614144,14812.224241842188,22801.22132478128,4.756689013892516,0.0854110559691225,0.2635074709218363,0.0530499551403237,0.4196950062031774,25299.541293464503,23113.18703917968,4.917031344570032,0.0675434800491497,23820.433724827235,16644.101468400935,12696.729330678225,8171.298454359961
22,54013.4635389315,23348.050997636547,9450.7214590854,17605.41380154578,4320.666604096624,4.873131219304307,0.1892147589653562,0.3660565910320448,68732.10835435466,27514.12522345413,7982.793326185997,21602.882342011468,4.821056131221716,0.2270554688033065,0.1872895012703316,0.0638110454404237,0.3456014643407518,72834.96650443715,25011.9429396162,4.805795381487133,0.2075537136064741,46884.321261801895,33066.04104317383,8279.806013647742,6200.229131402751
23,31091.40254989353,32786.688317630425,20253.56613240157,17667.002012674602,11332.67664429442,4.7778839115772,0.1577515035480904,0.3121608580989048,34179.11958322972,27966.76720847314,15212.63121998921,23074.309388343783,4.8546010876879775,0.1036392995332885,0.1035335394423363,0.058548444305733,0.397013337828313,44310.79750866946,26109.96952262877,4.886740741730326,0.1067038645060505,34589.16702548224,33925.893993310674,12444.55994273132,16611.77654803623
24,22055.35255658489,8751.142723140494,25704.0571419734,14314.263642214388,12002.372507198905,4.850663769540303,0.0666551766102868,0.4111477262394004,31326.98219237245,10894.12603250989,16380.860196297364,17360.875677640946,4.90184711775172,0.0769622321093106,0.0137483236039524,0.0789660212501391,0.4193627148950241,27583.16767643942,18083.27774630457,4.966848243177537,0.0750340128674172,21572.755502522567,17857.488609188866,18903.54750926213,12929.320694351776
25,20107.814789498007,16338.137424637283,10122.132477347986,22284.7467351264,10200.816368819202,4.754410261908128,0.1451555470001308,0.5368630765309493,14136.534681489453,23585.29632317212,7515.421177466497,19084.30166729584,4.889467773978604,0.051759250376143,0.1012368837548314,0.0610183055599281,0.48320882014485,16622.774345145914,22135.03173405972,4.696969963445446,0.0420584724848124,17287.72960428119,23314.54218603852,10724.391368429877,15158.385821837495
